Time,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total
2022-02-02 12:00:00,88954578.7,297446896.55,386401475.25,74410067.18,217070023.24,291480090.43,189299378.8,1068802178.9,1258101557.71
2022-02-02 13:00:00,82247125.96,219574012.83,301821138.79,73531840.96,158594778.26,232126619.22,181667474.93,900987604.34,1082655079.27
2022-02-02 14:00:00,91002261.83,253261394.75,344263656.59,76653290.4,193693632.58,270346922.98,195717759.76,948484042.43,1144201802.19
2022-02-02 15:00:00,125893645.46,291844359.93,417737629.41,107635983.82,218952074.56,326588058.38,261396626.1,2051731797.46,2313128423.56
2022-02-02 16:00:00,203899681.45,723010253.8,926909935.24,164529711.76,548703695.16,713233406.92,403137882.85,7058442113.42,7461579996.27
2022-02-02 17:00:00,113144010.81,386346658.47,499490669.28,91401017.83,294109314.69,385510332.52,234468681.99,6799661409.82,7034130462.2
2022-02-02 18:00:00,105437981.46,293144826.69,398583177.33,85239301.35,219320629.7,304559561.86,220061208.59,6613558152.15,6833619360.74
2022-02-02 19:00:00,123070966.2,342871923.26,465942889.46,101485267.2,267937656.41,369422923.61,259073419.73,6525421402.39,6784494822.11
2022-02-02 20:00:00,95619260.14,205659244.04,301278504.19,80306415,159901419.42,240207465.62,203382287.66,5989781964.69,6193164252.35
2022-02-02 21:00:00,88553372.24,217578713.46,306132085.69,75956406.25,168423032.78,244379439.03,196213350.91,6195430388.46,6391643739.37
2022-02-02 22:00:00,78331441.23,165219826.29,243550899.1,65797762.21,123316369.96,189114132.18,168410719.7,6892662828.68,7061073179.96
2022-02-02 23:00:00,65538715.86,160299239.84,225837955.7,61783399.19,117548392.77,179331791.96,158127014.27,5883008474.68,6041135858.32
2022-02-03 00:00:00,73817078.22,252387134.77,326203842.71,62935618.71,201301261.42,264236880.14,170977806.73,6392394050.14,6563371856.87
2022-02-03 01:00:00,63502206.21,191065065.79,254566902.41,52407180.45,142516381.97,194923562.42,134604246.35,5971720580.61,6106324826.96
2022-02-03 02:00:00,65746228.43,187948316.41,253694915.37,51411796.53,143089392.44,194501188.97,137514726.47,5812222335.27,5949737061.73
2022-02-03 03:00:00,65979140.89,172123546.62,238102687.51,54590851.65,133559104.93,188149956.59,138545956.54,6704701792.28,6843247748.83
2022-02-03 04:00:00,77471483.42,273746988.17,351218471.59,64538254.77,208093648.26,272631903.03,161733150.07,6710433206.87,6872166356.94
2022-02-03 05:00:00,133339612.53,552495630.71,685835243.24,103942206.51,415012759.61,518954966.12,259610713.83,6803311743.14,7062922456.97
2022-02-03 06:00:00,90176839.45,413381715.11,503558554.56,71120740.54,303677047.41,374797787.94,183661303.7,6924577097.25,7108238400.95
2022-02-03 07:00:00,114157247.59,485850059.93,600007307.52,91279919.36,351657762.1,442937681.46,226080752.43,7197623085.81,7423703471.21
2022-02-03 08:00:00,103168026.24,341463496.35,444631522.59,84489194.38,260282278.66,344771473.04,209063907.13,3997702272.67,4206766179.8
2022-02-03 09:00:00,121250604.13,472712960.89,593963199.7,89846368.87,359117328.62,448963697.49,233482486.77,1407758968.8,1641241455.57
2022-02-03 10:00:00,118018538.57,473140146.27,591158684.84,93245859.44,357983829.49,451229688.92,235457171.57,1366660852.4,1602118023.97
2022-02-03 11:00:00,85199352.67,328484031.64,413683384.31,69437522.03,238127985.32,307565507.34,177142752.32,1035737758.12,1212880510.44
2022-02-03 12:00:00,86370694.66,289206691.54,375577386.2,72709382.51,215427647.01,288136661.05,186770432.34,943491279.32,1130261711.66
2022-02-03 13:00:00,65646285.81,187631611.9,253277897.71,51738027.87,141600884.99,193338544.96,141492721.1,737466209.32,878958930.42
2022-02-03 14:00:00,75897192.36,297638156.87,373535349.23,61883810.62,217093122.8,278976933.42,164694815.39,949696188.71,1114391004.09
2022-02-03 15:00:00,70595736.91,329202733.67,399798470.58,56632100.52,247548558.65,304180659.17,152363328.08,1009462620.59,1161825948.67
2022-02-03 16:00:00,126004855.69,547409595.86,673414081.92,95237345.61,392059543.62,487296889.23,247851809.88,1451568545.07,1699420354.95
2022-02-03 17:00:00,74845387.22,157566610.38,232411997.6,58150950.68,116228357.58,174378938.69,158382613.65,696476163.65,854858777.3
2022-02-03 18:00:00,77726440.78,303291467.14,381017907.92,58969172.47,226948799.04,285917971.51,162903678.11,989234716.76,1152138394.87
2022-02-03 19:00:00,79647583.54,254316855.64,333964439.18,62207150.57,189772108.79,251979259.36,167122877.24,1441439560.64,1608562065.77
2022-02-03 20:00:00,63448482.94,193297233.22,256745344.11,50290831.42,150145895.45,200436726.87,136070415.33,5801593841.57,5937664256.91
2022-02-03 21:00:00,66426948.76,321270076.26,387697025.02,53419536.68,213967333.16,267387243.46,144314124.75,5835834052.76,5980148177.51
2022-02-03 22:00:00,60076655.88,180515590.02,240592245.9,47064969.27,138840109.89,185905079.15,129031501.02,6079080892.5,6208112393.52
2022-02-03 23:00:00,56398993.36,176909130.16,233308123.52,43356908.12,142433083.29,185789991.41,121969626.01,6062903731.36,6184873357.38
2022-02-04 00:00:00,149035851.71,439746271.07,588782122.78,112934638.84,332885734.18,445820373.02,286388628.37,6480874796.41,6767263424.79
2022-02-04 01:00:00,101669426.14,458352816.36,560022242.51,77757696.86,346627119.43,424384816.29,200516739.77,6746847157.19,6947363896.96
2022-02-04 02:00:00,108978401.41,381833625.26,490812026.67,83293764.06,287096090.84,370389854.9,212314109.36,6599669575.86,6811983685.21
