time,high,low,open,close,volumefrom,volumeto
2022-01-31 15:00:00,38590.88,38263.78,38445.19,38491.76,1813.87,69719254.5
2022-01-31 16:00:00,38603.71,38363.77,38491.76,38444.92,2571.47,98944306.47
2022-01-31 17:00:00,38750.82,38434.61,38444.92,38440.82,802.72,30960078.16
2022-01-31 18:00:00,38539.65,38381.68,38440.82,38494.66,604.98,23271421.82
2022-01-31 19:00:00,38649.48,38308.08,38494.66,38362.53,1002.82,38555857.44
2022-01-31 20:00:00,38421.98,38201.69,38362.53,38264.38,710.27,27215339.03
2022-01-31 21:00:00,38525.31,38231.66,38264.38,38508.94,639.72,24557756.74
2022-01-31 22:00:00,38684.7,38423.24,38508.94,38625.98,1065.71,41113747.85
2022-01-31 23:00:00,38673.83,38500.68,38625.98,38583.28,551.09,21266121.95
2022-02-01 00:00:00,38635.62,38468.98,38583.28,38477.32,734.1,28316719.79
2022-02-01 01:00:00,38498.86,38261.98,38477.32,38316.19,710.55,27244543.83
2022-02-01 02:00:00,38481.95,38309.54,38316.19,38466.57,670.78,25770266.83
2022-02-01 03:00:00,38626.16,38429.11,38466.57,38614.65,598.75,23081632.96
2022-02-01 04:00:00,39105.34,38259.47,38614.65,38273.38,3610.82,139797186.96
2022-02-01 05:00:00,38376.36,38033.98,38273.38,38280.53,1541.1,58877174.38
2022-02-01 06:00:00,38497.08,38233.17,38280.53,38475.42,950.04,36469875.07
2022-02-01 07:00:00,38791.77,38411.12,38475.42,38678.75,866.18,33442578.45
2022-02-01 08:00:00,38990.81,38504.91,38678.75,38897.64,1347.09,52229730.56
2022-02-01 09:00:00,39061.81,38351.02,38897.64,38516.25,3555.74,137643833.35
2022-02-01 10:00:00,38664.34,38208.18,38516.25,38652.32,2553.93,98045077.68
2022-02-01 11:00:00,39281.06,38620.03,38652.32,39155,3079.74,120187813.07
2022-02-01 12:00:00,39198.72,38683.31,39155,38894.63,1970.38,76667112.78
2022-02-01 13:00:00,38915.83,38489.93,38894.63,38541.52,1577.3,61128310.7
